OUTPUT

Title,Link,Company,Location,Job_posted,Tags
"Manager, Customer Success",https://www.linkedin.com/jobs/view/manager-customer-success-at-squarespace-3927959510?position=24&pageNum=0&refId=TWpy2q87s7RFE8MnOyh4vw%3D%3D&trackingId=TOH1e%2BfTsjMoG4gHw4N4Kw%3D%3D&trk=public_jobs_jserp-result_search-card,Squarespace,"New York, NY",3 weeks ago,
Chief Credit Officer,https://www.linkedin.com/jobs/view/chief-credit-officer-at-varo-bank-3927940402?position=25&pageNum=0&refId=TWpy2q87s7RFE8MnOyh4vw%3D%3D&trackingId=ZQOPYabJqxPVLjdAneCWFA%3D%3D&trk=public_jobs_jserp-result_search-card,Varo Bank,"San Francisco, CA",1 week ago,
"Sr. Product Manager, Payments",https://www.linkedin.com/jobs/view/sr-product-manager-payments-at-varo-bank-3927943165?position=26&pageNum=0&refId=TWpy2q87s7RFE8MnOyh4vw%3D%3D&trackingId=ohMG7EjA3iqAn7hSqbvDNg%3D%3D&trk=public_jobs_jserp-result_search-card,Varo Bank,United States,1 week ago,
Chief Credit Officer,https://www.linkedin.com/jobs/view/chief-credit-officer-at-varo-bank-3927939522?position=27&pageNum=0&refId=TWpy2q87s7RFE8MnOyh4vw%3D%3D&trackingId=w%2F8lukh1fPwy1zTQTh0kYQ%3D%3D&trk=public_jobs_jserp-result_search-card,Varo Bank,"Charlotte, NC",1 week ago,
"Lead Product Manager, Credit",https://www.linkedin.com/jobs/view/lead-product-manager-credit-at-varo-bank-3927937623?position=49&pageNum=0&refId=TWpy2q87s7RFE8MnOyh4vw%3D%3D&trackingId=tGkz4tryvwkvJge8Vqj5aQ%3D%3D&trk=public_jobs_jserp-result_search-card,Varo Bank,United States,1 week ago,
"Sr. Product Manager, Payments",https://www.linkedin.com/jobs/view/sr-product-manager-payments-at-varo-bank-3927944086?position=60&pageNum=0&refId=TWpy2q87s7RFE8MnOyh4vw%3D%3D&trackingId=Vgr8mrEzVqp8HX1PGZH7fg%3D%3D&trk=public_jobs_jserp-result_search-card,Varo Bank,"Charlotte, NC",1 week ago,
"Manager, Customer Success",https://www.linkedin.com/jobs/view/manager-customer-success-at-squarespace-3927959510?position=24&pageNum=0&refId=deGxx9P1CvuG%2FmWteIKH9A%3D%3D&trackingId=cvBzCLr6gHJLCbAyuhxAUg%3D%3D&trk=public_jobs_jserp-result_search-card,Squarespace,"New York, NY",3 weeks ago,
Chief Credit Officer,https://www.linkedin.com/jobs/view/chief-credit-officer-at-varo-bank-3927940402?position=25&pageNum=0&refId=deGxx9P1CvuG%2FmWteIKH9A%3D%3D&trackingId=DPaGLWdeLrLt2pfbAQBdsA%3D%3D&trk=public_jobs_jserp-result_search-card,Varo Bank,"San Francisco, CA",1 week ago,
"Sr. Product Manager, Payments",https://www.linkedin.com/jobs/view/sr-product-manager-payments-at-varo-bank-3927943165?position=26&pageNum=0&refId=deGxx9P1CvuG%2FmWteIKH9A%3D%3D&trackingId=mvg4V%2Fp45vCt2kofERMXLA%3D%3D&trk=public_jobs_jserp-result_search-card,Varo Bank,United States,1 week ago,
Chief Credit Officer,https://www.linkedin.com/jobs/view/chief-credit-officer-at-varo-bank-3927939522?position=27&pageNum=0&refId=deGxx9P1CvuG%2FmWteIKH9A%3D%3D&trackingId=XQbp94Oj62Czjtty3scSAA%3D%3D&trk=public_jobs_jserp-result_search-card,Varo Bank,"Charlotte, NC",1 week ago,
